,Abbreviated District Name,Full District Name,Type of Zoning District,zone_pct,single_family
656,AG-1,Agricultural - Restricted,Nonresidential,0.2,False
733,B-2,Business - Community,Nonresidential,0.2,False
954,BMX-3,Business Mixed Use - Community,Mixed with Residential,0.2,False
635,A-2,Apartment - Medium-Density,Primarily Residential,0.3,False
888,F-1,Preservation - Military and Federal,Nonresidential,0.3,False
980,I-2,Industrial - Intensive,Nonresidential,0.3,False
926,R-3.5,"Residential - 3,500 sf",Primarily Residential,0.5,True
822,R-10,"Residential - 10,000 sf",Primarily Residential,4.3999999999999995,True
870,R-7.5,"Residential - 7,500 sf",Primarily Residential,4.7,True
604,A-1,Apartment - Low-Density,Primarily Residential,4.9,False
794,P-2,Preservation - General,Nonresidential,7.3999999999999995,False
843,R-5,"Residential - 5,000 sf",Primarily Residential,13.5,True
762,P-1,Preservation - Restricted,Nonresidential,63.1,False
