,Abbreviated District Name,Full District Name,Type of Zoning District,zone_pct,single_family
320,V-2.0,"Resort-Hotel - 2,000 square feet",Mixed with Residential,0.0,False
329,RM-15,"Multiple-Family Residential - 15,000 square feet",Primarily Residential,0.0,True
241,RM-1.5,"Multiple-Family Residential - 1,500 square feet",Primarily Residential,0.0,False
146,RA-.5a,Residential & Agricultural - Minimum 0.5 acres,Mixed with Residential,0.0,True
247,RM-3,"Multiple-Family Residential - 3,000 square feet",Primarily Residential,0.0,False
316,RM-6,"Multiple-Family Residential - 6,000 square feet",Primarily Residential,0.0,True
257,CV-20,"Village Commercial - 20,000 square feet",Mixed with Residential,0.0,False
120,ML-20,"Limited Industrial - 20,000 square feet",Nonresidential,0.0,False
260,MG-10a,General Industrial - 10 acres,Nonresidential,0.0,False
263,ML-10,"Limited Industrial - 10,000 square feet",Nonresidential,0.0,False
97,FA-3a,Family Agricultural District - minimum 3 acres,Mixed with Residential,0.0,False
91,FA-2a,Family Agricultural District - minimum 2 acres,Mixed with Residential,0.0,False
222,CN-20,"Neighborhood Commercial - 20,000 square feet",Mixed with Residential,0.0,False
85,FA-1a,Family Agricultural District - minimum 1 acre,Mixed with Residential,0.0,False
73,CV-10,"Village Commercial - 10,000 square feet",Mixed with Residential,0.0,False
66,CN-7.5,"Neighborhood Commercial - 7,500 square feet",Mixed with Residential,0.0,False
59,CN-10,"Neighborhood Commercial - 10,000 square feet",Mixed with Residential,0.0,False
50,A-80a,Agricultural District - minimum 80 acres,Nonresidential,0.0,False
290,RM-5,"Multiple-Family Residential - 5,000 square feet",Primarily Residential,0.0,True
327,RA-1.5a,Residential & Agricultural - Minimum 1.5 acres,Mixed with Residential,0.0,True
293,RM-7,"Multiple-Family Residential - 7,000 square feet",Primarily Residential,0.0,True
27,A-35a,Agricultural District - minimum 35 acres,Nonresidential,0.0,False
298,V-1.25,"Resort-Hotel - 1,250 square feet",Mixed with Residential,0.0,False
328,RA-5a,Residential & Agricultural - Minimum 5 acres,Mixed with Residential,0.0,True
308,MCX-1a,Industrial-Commercial Mixed Use - 1 acres,Nonresidential,0.0,False
283,RM-2.5,"Multiple-Family Residential - 2,500 square feet",Primarily Residential,0.0,False
203,RS-7.5,"Single-Family Residential - 7,500 squre feet",Primarily Residential,0.1,True
330,RS-22,"Single-Family Residential - 22,000 square feet",Primarily Residential,0.1,True
170,RM-4,"Multiple-Family Residential - 4,000 square feet",Primarily Residential,0.1,True
138,RA-2a,Residential & Agricultural - Minimum 2 acres,Mixed with Residential,0.1,True
324,A-100a,Agricultural District - minimum 100 acres,Nonresidential,0.1,False
112,MG-1a,General Industrial - 1 acres,Nonresidential,0.1,False
325,A-400a,Agricultural District - minimum 400 acres,Nonresidential,0.1,False
78,CV-7.5,"Village Commercial - 7,500 square feet",Mixed with Residential,0.1,False
25,A-2a,Agricultural District - minimum 2 acres,Nonresidential,0.1,False
187,RS-15,"Single-Family Residential - 15,000 square feet",Primarily Residential,0.2,True
134,RA-1a,Residential & Agricultural - Minimum 1 acre,Mixed with Residential,0.2,True
194,RS-20,"Single-Family Residential - 20,000 squre feet",Primarily Residential,0.3,True
273,A-200a,Agricultural District - minimum 200 acres,Nonresidential,0.4,False
326,A-600a,Agricultural District - minimum 600 acres,Nonresidential,0.4,False
35,A-3a,Agricultural District - minimum 3 acres,Nonresidential,0.7000000000000001,False
14,A-1a,Agricultural District - minimum 1 acre,Nonresidential,0.8,False
178,RS-10,"Single-Family Residential - 10,000 square feet",Primarily Residential,0.8999999999999999,True
6,A-10a,Agricultural District - minimum 10 acres,Nonresidential,1.2,False
128,OPEN,Open District,Nonresidential,2.4,False
107,FR,Forest Reserve,Nonresidential,9.6,False
46,A-5a,Agricultural District - minimum 5 acres,Nonresidential,13.200000000000001,False
22,A-20a,Agricultural District - minimum 20 acres,Nonresidential,21.4,False
39,A-40a,Agricultural District - minimum 40 acres,Nonresidential,46.300000000000004,False
