,Abbreviated District Name,Full District Name,Type of Zoning District,zone_pct,single_family
167,RM-4,"Multiple-Family Residential - 4,000 square feet",Primarily Residential,0.0,True
259,MG-10a,General Industrial - 10 acres,Nonresidential,0.0,False
258,MCX-10,"Industrial-Commercial Mixed Use - 10,000 square feet",Nonresidential,0.0,False
253,CV-20,"Village Commercial - 20,000 square feet",Mixed with Residential,0.0,False
243,RM-3,"Multiple-Family Residential - 3,000 square feet",Primarily Residential,0.0,False
237,RM-1.5,"Multiple-Family Residential - 1,500 square feet",Primarily Residential,0.0,False
235,RCX-20,"Residential-Commercial Mixed Use Districts - 20,000 square feet",Mixed with Residential,0.0,False
229,MG-20,"General Industrial - 20,000 square feet",Nonresidential,0.0,False
218,CN-20,"Neighborhood Commercial - 20,000 square feet",Mixed with Residential,0.0,False
215,CG-7.5,"General Commercial - 7,500 square feet",Mixed with Residential,0.0,False
199,RS-7.5,"Single-Family Residential - 7,500 squre feet",Primarily Residential,0.0,True
261,ML-10,"Limited Industrial - 10,000 square feet",Nonresidential,0.0,False
141,RA-.5a,Residential & Agricultural - Minimum 0.5 acres,Mixed with Residential,0.0,True
131,RA-1a,Residential & Agricultural - Minimum 1 acre,Mixed with Residential,0.0,True
264,ML-1a,"Limited Industrial - 1,000 square feet",Nonresidential,0.0,False
81,FA-1a,Family Agricultural District - minimum 1 acre,Mixed with Residential,0.0,False
87,FA-2a,Family Agricultural District - minimum 2 acres,Mixed with Residential,0.0,False
61,CN-40,"Neighborhood Commercial - 40,000 square feet",Mixed with Residential,0.0,False
63,CN-7.5,"Neighborhood Commercial - 7,500 square feet",Mixed with Residential,0.0,False
252,UNV,University - 10 acres,Nonresidential,0.1,False
149,RD-3.75,Double-Family Residential Districts,Primarily Residential,0.1,True
94,FA-3a,Family Agricultural District - minimum 3 acres,Mixed with Residential,0.1,False
55,CN-10,"Neighborhood Commercial - 10,000 square feet",Mixed with Residential,0.1,False
212,CG-20,"General Commercial - 20,000 square feet",Mixed with Residential,0.1,False
68,CV-10,"Village Commercial - 10,000 square feet",Mixed with Residential,0.1,False
224,MCX-20,"Industrial-Commercial Mixed Use - 20,000 square feet",Nonresidential,0.1,False
190,RS-20,"Single-Family Residential - 20,000 squre feet",Primarily Residential,0.2,True
206,V-.75,Resort-Hotel - 750 square feet,Mixed with Residential,0.2,False
102,FR,Forest Reserve,Nonresidential,0.3,False
182,RS-15,"Single-Family Residential - 15,000 square feet",Primarily Residential,0.5,True
123,OPEN,Open District,Nonresidential,0.8999999999999999,False
109,MG-1a,General Industrial - 1 acres,Nonresidential,1.0999999999999999,False
173,RS-10,"Single-Family Residential - 10,000 square feet",Primarily Residential,1.7000000000000002,True
2,A-10a,Agricultural District - minimum 10 acres,Nonresidential,2.1999999999999997,False
117,ML-20,"Limited Industrial - 20,000 square feet",Nonresidential,2.5,False
41,A-5a,Agricultural District - minimum 5 acres,Nonresidential,7.5,False
9,A-1a,Agricultural District - minimum 1 acre,Nonresidential,10.0,False
17,A-20a,Agricultural District - minimum 20 acres,Nonresidential,30.7,False
30,A-3a,Agricultural District - minimum 3 acres,Nonresidential,38.2,False
