,Abbreviated District Name,Full District Name,Type of Zoning District,zone_pct,single_family
136,RA-2a,Residential & Agricultural - Minimum 2 acres,Mixed with Residential,0.0,True
233,RCX-10,"Residential-Commercial Mixed Use Districts - 10,000 square feet",Mixed with Residential,0.0,False
250,RS-40,"Single-Family Residential - 40,000 square feet",Primarily Residential,0.0,True
205,V-.75,Resort-Hotel - 750 square feet,Mixed with Residential,0.0,False
228,MG-20,"General Industrial - 20,000 square feet",Nonresidential,0.0,False
140,RA-.5a,Residential & Agricultural - Minimum 0.5 acres,Mixed with Residential,0.0,True
209,CG-10,"General Commercial - 10,000 square feet",Mixed with Residential,0.0,False
189,RS-20,"Single-Family Residential - 20,000 squre feet",Primarily Residential,0.0,True
116,ML-20,"Limited Industrial - 20,000 square feet",Nonresidential,0.0,False
223,MCX-20,"Industrial-Commercial Mixed Use - 20,000 square feet",Nonresidential,0.0,False
236,RM-1.5,"Multiple-Family Residential - 1,500 square feet",Primarily Residential,0.0,False
248,RM-5.5,"Multiple-Family Residential - 5,500 square feet",Primarily Residential,0.0,True
234,RCX-20,"Residential-Commercial Mixed Use Districts - 20,000 square feet",Mixed with Residential,0.0,False
93,FA-3a,Family Agricultural District - minimum 3 acres,Mixed with Residential,0.1,False
54,CN-10,"Neighborhood Commercial - 10,000 square feet",Mixed with Residential,0.1,False
242,RM-3,"Multiple-Family Residential - 3,000 square feet",Primarily Residential,0.1,False
80,FA-1a,Family Agricultural District - minimum 1 acre,Mixed with Residential,0.2,False
211,CG-20,"General Commercial - 20,000 square feet",Mixed with Residential,0.2,False
166,RM-4,"Multiple-Family Residential - 4,000 square feet",Primarily Residential,0.2,True
217,CN-20,"Neighborhood Commercial - 20,000 square feet",Mixed with Residential,0.2,False
52,CDH,Downtown Hilo Commercial District,Mixed with Residential,0.4,False
148,RD-3.75,Double-Family Residential Districts,Primarily Residential,0.5,True
153,RM-1,"Multiple-Family Residential - 1,000 square feet",Primarily Residential,0.6,False
214,CG-7.5,"General Commercial - 7,500 square feet",Mixed with Residential,0.8999999999999999,False
130,RA-1a,Residential & Agricultural - Minimum 1 acre,Mixed with Residential,1.0,True
231,PD,Project District,Primarily Residential,1.2,False
251,UNV,University - 10 acres,Nonresidential,2.0,False
198,RS-7.5,"Single-Family Residential - 7,500 squre feet",Primarily Residential,2.1999999999999997,True
122,OPEN,Open District,Nonresidential,3.1,False
1,A-10a,Agricultural District - minimum 10 acres,Nonresidential,5.0,False
101,FR,Forest Reserve,Nonresidential,6.1,False
172,RS-10,"Single-Family Residential - 10,000 square feet",Primarily Residential,6.4,True
16,A-20a,Agricultural District - minimum 20 acres,Nonresidential,7.5,False
8,A-1a,Agricultural District - minimum 1 acre,Nonresidential,8.5,False
181,RS-15,"Single-Family Residential - 15,000 square feet",Primarily Residential,9.2,True
29,A-3a,Agricultural District - minimum 3 acres,Nonresidential,37.6,False
