,Abbreviated District Name,Full District Name,Type of Zoning District,zone_pct,single_family
718,B-1,Business - Neighborhood,Nonresidential,0.1,False
962,BMX-3,Business Mixed Use - Community,Mixed with Residential,0.1,False
1009,IMX-1,Industrial-Commercial Mixed Use,Nonresidential,0.1,False
993,I-2,Industrial - Intensive,Nonresidential,0.2,False
1016,I-1,Industrial - Limited,Nonresidential,0.2,False
1023,C,Country,Mixed with Residential,0.2,False
652,A-2,Apartment - Medium-Density,Primarily Residential,0.3,False
672,AG-1,Agricultural - Restricted,Nonresidential,0.7000000000000001,False
749,B-2,Business - Community,Nonresidential,0.7000000000000001,False
811,P-2,Preservation - General,Nonresidential,5.8999999999999995,False
879,R-7.5,"Residential - 7,500 sf",Primarily Residential,5.8999999999999995,True
860,R-5,"Residential - 5,000 sf",Primarily Residential,7.3,True
691,AG-2,Agricultural - General,Nonresidential,7.7,False
829,R-10,"Residential - 10,000 sf",Primarily Residential,8.4,True
900,F-1,Preservation - Military and Federal,Nonresidential,18.6,False
777,P-1,Preservation - Restricted,Nonresidential,43.0,False
