,Abbreviated District Name,Full District Name,Type of Zoning District,zone_pct,single_family
938,AMX-2,Apartment Mixed Use - Medium-Density,Mixed with Residential,0.0,False
595,A-1,Apartment - Low-Density,Primarily Residential,0.2,False
919,R-3.5,"Residential - 3,500 sf",Primarily Residential,0.2,True
724,B-2,Business - Community,Nonresidential,0.3,False
697,B-1,Business - Neighborhood,Nonresidential,0.4,False
932,A-3,Apartment - High-Density,Primarily Residential,0.5,False
624,A-2,Apartment - Medium-Density,Primarily Residential,0.8999999999999999,False
947,BMX-3,Business Mixed Use - Community,Mixed with Residential,1.4000000000000001,False
783,P-2,Preservation - General,Nonresidential,2.1,False
817,R-10,"Residential - 10,000 sf",Primarily Residential,6.6000000000000005,True
835,R-5,"Residential - 5,000 sf",Primarily Residential,11.799999999999999,True
865,R-7.5,"Residential - 7,500 sf",Primarily Residential,18.6,True
754,P-1,Preservation - Restricted,Nonresidential,56.99999999999999,False
