,Jurisdiction,Abbreviated District Name,Full District Name,Type of Zoning District,1-Family Treatment,1-Family Max. Height,1-Family Floor to Area Ratio,4+-Family Treatment,1-Family Min. Lot,1-Family Min. # Parking Spaces,Accessory Dwelling Unit (ADU) Treatment,zone_area,zone_pct,single_family,num_suffix
100,Hawaii County,V-1.75,"Resort-Hotel - 1,750 square feet",Mixed with Residential,Allowed/Conditional,45,,Allowed/Conditional,0.34,2,Prohibited,34514.224093841214,0.0,False,1.7
99,Hawaii County,V-1.5,"Resort-Hotel - 1,500 square feet",Mixed with Residential,Allowed/Conditional,45,,Allowed/Conditional,0.34,2,Prohibited,171839.8945220636,0.0,False,1.5
98,Hawaii County,V-1.25,"Resort-Hotel - 1,250 square feet",Mixed with Residential,Allowed/Conditional,45,,Allowed/Conditional,0.34,2,Prohibited,2382185.384891975,0.0,False,1.2
97,Hawaii County,V-1.0,"Resort-Hotel - 1,000 square feet",Mixed with Residential,Allowed/Conditional,45,,Allowed/Conditional,0.34,2,Prohibited,94511.19902265405,0.0,False,1.0
96,Hawaii County,V-1,"Resort-Hotel - 1,000 square feet",Mixed with Residential,Allowed/Conditional,45,,Allowed/Conditional,0.34,2,Prohibited,8897.44675502747,0.0,False,1.0
95,Hawaii County,UNV,University - 10 acres,Nonresidential,Prohibited,,,Prohibited,,,Prohibited,1259814.773571326,0.0,False,
93,Hawaii County,RS-5a,Single-Family Residential - 5 acres,Primarily Residential,Allowed/Conditional,35,,Prohibited,5,2,Allowed/Conditional,131169.61896831292,0.0,True,5.0
92,Hawaii County,RS-40,"Single-Family Residential - 40,000 square feet",Primarily Residential,Allowed/Conditional,35,,Prohibited,0.92,2,Allowed/Conditional,4044.057638755546,0.0,True,40.0
91,Hawaii County,RS-22,"Single-Family Residential - 22,000 square feet",Primarily Residential,Allowed/Conditional,35,,Prohibited,0.49,2,Allowed/Conditional,636043.969313777,0.0,True,22.0
88,Hawaii County,RS-10a,Single-Family Residential - 10 acres,Primarily Residential,Allowed/Conditional,35,,Prohibited,10,2,Allowed/Conditional,59721.268885144396,0.0,True,10.0
86,Hawaii County,RM-8,"Multiple-Family Residential - 8,000 square feet",Primarily Residential,Allowed/Conditional,45; 120 in Hilo,,Allowed/Conditional,0.18,2,Prohibited,416902.7084821111,0.0,True,8.0
85,Hawaii County,RM-.75,Multiple-Family Residential - 750 square feet,Primarily Residential,Allowed/Conditional,45; 120 in Hilo,,Allowed/Conditional,0.17,2,Prohibited,73425.13624814907,0.0,True,
84,Hawaii County,RM-7,"Multiple-Family Residential - 7,000 square feet",Primarily Residential,Allowed/Conditional,45; 120 in Hilo,,Allowed/Conditional,0.17,2,Prohibited,422188.2866004554,0.0,True,7.0
83,Hawaii County,RM-6,"Multiple-Family Residential - 6,000 square feet",Primarily Residential,Allowed/Conditional,45; 120 in Hilo,,Allowed/Conditional,0.17,2,Prohibited,734180.9772034086,0.0,True,6.0
82,Hawaii County,RM-5.5,"Multiple-Family Residential - 5,500 square feet",Primarily Residential,Allowed/Conditional,45; 120 in Hilo,,Allowed/Conditional,0.17,2,Prohibited,251581.49559367824,0.0,True,5.5
81,Hawaii County,RM-5,"Multiple-Family Residential - 5,000 square feet",Primarily Residential,Allowed/Conditional,45; 120 in Hilo,,Allowed/Conditional,0.17,2,Prohibited,779483.5884390733,0.0,True,5.0
79,Hawaii County,RM-3.5,"Multiple-Family Residential - 3,500 square feet",Primarily Residential,Allowed/Conditional,45; 120 in Hilo,,Allowed/Conditional,0.17,2,Prohibited,596585.0667907827,0.0,True,3.5
50,Hawaii County,MG-5a,General Industrial - 5 acres,Nonresidential,Prohibited,,,Prohibited,,,Prohibited,251570.38064802234,0.0,False,5.0
107,Hawaii County,V-.75,Resort-Hotel - 750 square feet,Mixed with Residential,Allowed/Conditional,45,,Allowed/Conditional,0.34,2,Prohibited,1160567.5389067556,0.0,False,
48,Hawaii County,MG-20,"General Industrial - 20,000 square feet",Nonresidential,Prohibited,,,Prohibited,,,Prohibited,1921690.9565642376,0.0,False,20.0
27,Hawaii County,CN-40,"Neighborhood Commercial - 40,000 square feet",Mixed with Residential,Allowed/Conditional,40,,Allowed/Conditional,0.92,2,Prohibited,59570.01951363035,0.0,False,40.0
26,Hawaii County,CN-20,"Neighborhood Commercial - 20,000 square feet",Mixed with Residential,Allowed/Conditional,40,,Allowed/Conditional,0.46,2,Prohibited,319705.0949877478,0.0,False,20.0
25,Hawaii County,CN-10,"Neighborhood Commercial - 10,000 square feet",Mixed with Residential,Allowed/Conditional,40,,Allowed/Conditional,0.23,2,Prohibited,445959.6757230206,0.0,False,10.0
49,Hawaii County,MG-3a,General Industrial - 3 acres,Nonresidential,Prohibited,,,Prohibited,,,Prohibited,1736043.0206763889,0.0,False,3.0
23,Hawaii County,CG-20,"General Commercial - 20,000 square feet",Mixed with Residential,Allowed/Conditional,45; 120 in Hilo,,Allowed/Conditional,0.46,2,Prohibited,757601.3789792553,0.0,False,20.0
22,Hawaii County,CG-10,"General Commercial - 10,000 square feet",Mixed with Residential,Allowed/Conditional,45; 120 in Hilo,,Allowed/Conditional,0.23,2,Prohibited,1098558.606167204,0.0,False,10.0
21,Hawaii County,CDH,Downtown Hilo Commercial District,Mixed with Residential,Allowed/Conditional,120,,Allowed/Conditional,0.17,1,Prohibited,310846.2382296807,0.0,False,
