,Abbreviated District Name,Full District Name,Type of Zoning District,zone_pct,single_family
435,A-2,A-2 Apartment,Primarily Residential,0.0,False
582,GC,GC Golf Course,Nonresidential,0.0,False
568,OS-2,OS-2 Open Space (Active),Nonresidential,0.0,False
563,OS,Open Space,Nonresidential,0.0,False
557,H-1,H-1 Hotel,Mixed with Residential,0.0,False
549,A-1,A-1 Apartment,Primarily Residential,0.0,False
535,P,Public Use,Nonresidential,0.0,False
529,D-1,D-1 Duplex,Primarily Residential,0.0,False
524,B-CT,B-CT Business - Country Town,Mixed with Residential,0.0,False
476,M-1,M-1 Light Industrial,Nonresidential,0.0,False
450,B-1,B-1 Business - Neighborhood,Mixed with Residential,0.0,False
455,B-2,B-2 Business-Community,Mixed with Residential,0.0,False
494,PD,PD Project District,Primarily Residential,0.0,False
482,M-2,M-2 Heavy Industrial,Nonresidential,0.0,False
586,UR,UR Urban Reserve,Primarily Residential,0.0,False
584,RU-1.0,RU-1.0 Rural - 1 Acre,Mixed with Residential,0.1,False
506,R-1,R-1 Residential,Primarily Residential,0.1,True
575,PK(GC),PK/GC Park Golf Course,Nonresidential,0.1,False
579,R,R Rural,Mixed with Residential,0.1,False
583,M-3,M-3 Heavy Industrial,Nonresidential,0.1,False
500,PK,PK Park,Nonresidential,0.1,False
512,R-2,R-2 Residential,Primarily Residential,0.2,True
488,P-1,P-1 Public/Quasi-Public,Nonresidential,0.2,False
518,R-3,R-3 Residential,Primarily Residential,0.5,True
542,RU-0.5,RU-0.5 Rural - 1/2 Acre,Mixed with Residential,0.8999999999999999,False
470,INT,INT Interim,Nonresidential,27.6,False
441,AG,AG Agriculture,Nonresidential,68.89999999999999,False
