,Abbreviated District Name,Full District Name,Type of Zoning District,zone_pct,single_family
982,I-2,Industrial - Intensive,Nonresidential,0.1,False
941,AMX-2,Apartment Mixed Use - Medium-Density,Mixed with Residential,0.2,False
1003,IMX-1,Industrial-Commercial Mixed Use,Nonresidential,0.3,False
637,A-2,Apartment - Medium-Density,Primarily Residential,0.7000000000000001,False
955,BMX-3,Business Mixed Use - Community,Mixed with Residential,0.8999999999999999,False
606,A-1,Apartment - Low-Density,Primarily Residential,1.3,False
1011,I-1,Industrial - Limited,Nonresidential,1.5,False
764,P-1,Preservation - Restricted,Nonresidential,1.7999999999999998,False
735,B-2,Business - Community,Nonresidential,2.0,False
658,AG-1,Agricultural - Restricted,Nonresidential,3.1,False
796,P-2,Preservation - General,Nonresidential,10.299999999999999,False
678,AG-2,Agricultural - General,Nonresidential,13.0,False
845,R-5,"Residential - 5,000 sf",Primarily Residential,23.400000000000002,True
890,F-1,Preservation - Military and Federal,Nonresidential,39.0,False
