,Abbreviated District Name,Full District Name,Type of Zoning District,zone_pct,single_family
497,PK,PK Park,Nonresidential,0.0,False
447,B-1,B-1 Business - Neighborhood,Mixed with Residential,0.0,False
460,H-2,H-2 Hotel,Mixed with Residential,0.0,False
463,H-M,H-M Hotel,Mixed with Residential,0.0,False
503,R-1,R-1 Residential,Primarily Residential,0.1,True
458,H,H Hotel,Mixed with Residential,0.1,False
432,A-2,A-2 Apartment,Primarily Residential,0.2,False
485,P-1,P-1 Public/Quasi-Public,Nonresidential,0.5,False
452,B-2,B-2 Business-Community,Mixed with Residential,0.6,False
467,INT,INT Interim,Nonresidential,1.2,False
515,R-3,R-3 Residential,Primarily Residential,1.7000000000000002,True
444,AP,AP Airport,Nonresidential,2.8000000000000003,False
473,M-1,M-1 Light Industrial,Nonresidential,3.1,False
479,M-2,M-2 Heavy Industrial,Nonresidential,3.5999999999999996,False
509,R-2,R-2 Residential,Primarily Residential,5.1,True
491,PD,PD Project District,Primarily Residential,5.8999999999999995,False
438,AG,AG Agriculture,Nonresidential,68.89999999999999,False
