,Abbreviated District Name,Full District Name,Type of Zoning District,zone_pct,single_family
704,B-1,Business - Neighborhood,Nonresidential,0.0,False
821,R-10,"Residential - 10,000 sf",Primarily Residential,0.0,True
655,AG-1,Agricultural - Restricted,Nonresidential,0.1,False
925,R-3.5,"Residential - 3,500 sf",Primarily Residential,0.1,True
1001,IMX-1,Industrial-Commercial Mixed Use,Nonresidential,0.1,False
603,A-1,Apartment - Low-Density,Primarily Residential,0.4,False
676,AG-2,Agricultural - General,Nonresidential,0.7000000000000001,False
634,A-2,Apartment - Medium-Density,Primarily Residential,0.8,False
732,B-2,Business - Community,Nonresidential,0.8,False
869,R-7.5,"Residential - 7,500 sf",Primarily Residential,1.2,True
793,P-2,Preservation - General,Nonresidential,1.3,False
979,I-2,Industrial - Intensive,Nonresidential,1.5,False
842,R-5,"Residential - 5,000 sf",Primarily Residential,10.100000000000001,True
887,F-1,Preservation - Military and Federal,Nonresidential,13.700000000000001,False
761,P-1,Preservation - Restricted,Nonresidential,69.0,False
