,Abbreviated District Name,Full District Name,Type of Zoning District,zone_pct,single_family
679,AG-2,Agricultural - General,Nonresidential,0.0,False
736,B-2,Business - Community,Nonresidential,0.1,False
1004,IMX-1,Industrial-Commercial Mixed Use,Nonresidential,0.7000000000000001,False
638,A-2,Apartment - Medium-Density,Primarily Residential,0.8,False
607,A-1,Apartment - Low-Density,Primarily Residential,1.0,False
942,AMX-2,Apartment Mixed Use - Medium-Density,Mixed with Residential,1.3,False
983,I-2,Industrial - Intensive,Nonresidential,2.9000000000000004,False
1012,I-1,Industrial - Limited,Nonresidential,3.2,False
765,P-1,Preservation - Restricted,Nonresidential,5.8999999999999995,False
871,R-7.5,"Residential - 7,500 sf",Primarily Residential,7.000000000000001,True
956,BMX-3,Business Mixed Use - Community,Mixed with Residential,7.199999999999999,False
797,P-2,Preservation - General,Nonresidential,8.1,False
846,R-5,"Residential - 5,000 sf",Primarily Residential,54.6,True
