,Abbreviated District Name,Full District Name,Type of Zoning District,zone_pct,single_family
623,A-2,Apartment - Medium-Density,Primarily Residential,0.0,False
696,B-1,Business - Neighborhood,Nonresidential,0.0,False
918,R-3.5,"Residential - 3,500 sf",Primarily Residential,0.8,True
594,A-1,Apartment - Low-Density,Primarily Residential,1.2,False
723,B-2,Business - Community,Nonresidential,1.3,False
816,R-10,"Residential - 10,000 sf",Primarily Residential,2.1999999999999997,True
675,AG-2,Agricultural - General,Nonresidential,2.7,False
782,P-2,Preservation - General,Nonresidential,3.6999999999999997,False
834,R-5,"Residential - 5,000 sf",Primarily Residential,35.8,True
753,P-1,Preservation - Restricted,Nonresidential,52.300000000000004,False
