,Abbreviated District Name,Full District Name,Type of Zoning District,zone_pct,single_family
448,B-1,B-1 Business - Neighborhood,Mixed with Residential,0.0,False
540,RES-MRA,Residential - Wailuku Redevelopment Area,Primarily Residential,0.0,False
539,P/QP-MRA,Public/Quasi-Public - Wailuku Redevelopment Area,Nonresidential,0.0,False
533,P,Public Use,Nonresidential,0.0,False
528,D-1,D-1 Duplex,Primarily Residential,0.0,False
523,B-CT,B-CT Business - Country Town,Mixed with Residential,0.0,False
545,SBR,SBR - Service Business Residential,Mixed with Residential,0.0,False
433,A-2,A-2 Apartment,Primarily Residential,0.1,False
541,RU-0.5,RU-0.5 Rural - 1/2 Acre,Mixed with Residential,0.1,False
537,P-2,P-2 Public/Quasi-Public,Nonresidential,0.1,False
532,MF-MRA,Multi Family - Wailuku Redevelopment Area,Primarily Residential,0.1,False
531,HD-3,HD-3 Historic District 3,Mixed with Residential,0.1,False
526,BMF-MRA,Business Multi Family - Wailuku Redevelopment Area,Mixed with Residential,0.1,False
521,B-3,B-3 Business - Central District,Mixed with Residential,0.1,False
480,M-2,M-2 Heavy Industrial,Nonresidential,0.1,False
453,B-2,B-2 Business-Community,Mixed with Residential,0.2,False
527,CMU-MRA,Commercial Mixed Use - Wailuku Redevelopment Area,Mixed with Residential,0.3,False
486,P-1,P-1 Public/Quasi-Public,Nonresidential,0.4,False
498,PK,PK Park,Nonresidential,1.0,False
510,R-2,R-2 Residential,Primarily Residential,1.0999999999999999,True
504,R-1,R-1 Residential,Primarily Residential,1.0999999999999999,True
474,M-1,M-1 Light Industrial,Nonresidential,1.0999999999999999,False
547,WCT,Waikapu Country Town District,Mixed with Residential,3.5000000000000004,False
516,R-3,R-3 Residential,Primarily Residential,3.6999999999999997,True
492,PD,PD Project District,Primarily Residential,5.1,False
468,INT,INT Interim,Nonresidential,22.3,False
439,AG,AG Agriculture,Nonresidential,55.800000000000004,False
