,Abbreviated District Name,Full District Name,Type of Zoning District,zone_pct,single_family
323,V-7,"Resort-Hotel - 7,000 square feet",Mixed with Residential,0.0,False
155,RM-1,"Multiple-Family Residential - 1,000 square feet",Primarily Residential,0.0,False
157,RM-10,"Multiple-Family Residential - 10,000 square feet",Primarily Residential,0.0,True
164,RM-3.5,"Multiple-Family Residential - 3,500 square feet",Primarily Residential,0.0,True
309,MG-15a,General Industrial - 15 acres,Nonresidential,0.0,False
307,MCX-1a,Industrial-Commercial Mixed Use - 1 acres,Nonresidential,0.0,False
306,CV-15,"Village Commercial - 15,000 square feet",Mixed with Residential,0.0,False
304,A-8a,Agricultural District - minimum 8 acres,Nonresidential,0.0,False
256,CV-20,"Village Commercial - 20,000 square feet",Mixed with Residential,0.0,False
196,RS-5a,Single-Family Residential - 5 acres,Primarily Residential,0.0,True
208,V-.75,Resort-Hotel - 750 square feet,Mixed with Residential,0.0,False
322,V-2a,Resort-Hotel - 2 acres,Mixed with Residential,0.0,False
213,CG-20,"General Commercial - 20,000 square feet",Mixed with Residential,0.0,False
216,CG-7.5,"General Commercial - 7,500 square feet",Mixed with Residential,0.0,False
221,CN-20,"Neighborhood Commercial - 20,000 square feet",Mixed with Residential,0.0,False
292,RM-7,"Multiple-Family Residential - 7,000 square feet",Primarily Residential,0.0,True
289,RM-5,"Multiple-Family Residential - 5,000 square feet",Primarily Residential,0.0,True
303,A-7a,Agricultural District - minimum 7 acres,Nonresidential,0.0,False
145,RA-.5a,Residential & Agricultural - Minimum 0.5 acres,Mixed with Residential,0.0,True
151,RD-3.75,Double-Family Residential Districts,Primarily Residential,0.0,True
311,ML-3a,"Limited Industrial - 3,000 square feet",Nonresidential,0.0,False
321,V-2.25,"Resort-Hotel - 2,250 square feet",Mixed with Residential,0.0,False
319,V-2.0,"Resort-Hotel - 2,000 square feet",Mixed with Residential,0.0,False
318,V-1.0,"Resort-Hotel - 1,000 square feet",Mixed with Residential,0.0,False
317,RM-8,"Multiple-Family Residential - 8,000 square feet",Primarily Residential,0.0,True
315,RM-6,"Multiple-Family Residential - 6,000 square feet",Primarily Residential,0.0,True
58,CN-10,"Neighborhood Commercial - 10,000 square feet",Mixed with Residential,0.0,False
77,CV-7.5,"Village Commercial - 7,500 square feet",Mixed with Residential,0.0,False
314,RM-20,"Multiple-Family Residential - 20,000 square feet",Primarily Residential,0.0,True
90,FA-2a,Family Agricultural District - minimum 2 acres,Mixed with Residential,0.0,False
96,FA-3a,Family Agricultural District - minimum 3 acres,Mixed with Residential,0.0,False
99,FA-5a,Family Agricultural District - minimum 5 acres,Mixed with Residential,0.0,False
312,RCX-2,"Residential-Commercial Mixed Use Districts - 2,000 square feeet",Mixed with Residential,0.0,False
114,MG-5a,General Industrial - 5 acres,Nonresidential,0.0,False
119,ML-20,"Limited Industrial - 20,000 square feet",Nonresidential,0.0,False
84,FA-1a,Family Agricultural District - minimum 1 acre,Mixed with Residential,0.0,False
262,ML-10,"Limited Industrial - 10,000 square feet",Nonresidential,0.0,False
310,MG-3a,General Industrial - 3 acres,Nonresidential,0.1,False
313,RM-14.5,"Multiple-Family Residential - 14,500 square feet",Primarily Residential,0.1,True
297,V-1.25,"Resort-Hotel - 1,250 square feet",Mixed with Residential,0.1,False
265,ML-1a,"Limited Industrial - 1,000 square feet",Nonresidential,0.1,False
210,CG-10,"General Commercial - 10,000 square feet",Mixed with Residential,0.1,False
240,RM-1.5,"Multiple-Family Residential - 1,500 square feet",Primarily Residential,0.1,False
72,CV-10,"Village Commercial - 10,000 square feet",Mixed with Residential,0.1,False
227,MCX-20,"Industrial-Commercial Mixed Use - 20,000 square feet",Nonresidential,0.1,False
246,RM-3,"Multiple-Family Residential - 3,000 square feet",Primarily Residential,0.1,False
202,RS-7.5,"Single-Family Residential - 7,500 squre feet",Primarily Residential,0.1,True
193,RS-20,"Single-Family Residential - 20,000 squre feet",Primarily Residential,0.1,True
169,RM-4,"Multiple-Family Residential - 4,000 square feet",Primarily Residential,0.1,True
186,RS-15,"Single-Family Residential - 15,000 square feet",Primarily Residential,0.1,True
5,A-10a,Agricultural District - minimum 10 acres,Nonresidential,0.2,False
302,A-500a,Agricultural District - minimum 500 acres,Nonresidential,0.2,False
177,RS-10,"Single-Family Residential - 10,000 square feet",Primarily Residential,0.2,True
305,A-900a,Agricultural District - minimum 900 acres,Nonresidential,0.3,False
34,A-3a,Agricultural District - minimum 3 acres,Nonresidential,0.3,False
133,RA-1a,Residential & Agricultural - Minimum 1 acre,Mixed with Residential,0.4,True
111,MG-1a,General Industrial - 1 acres,Nonresidential,0.6,False
232,PD,Project District,Primarily Residential,0.8,False
13,A-1a,Agricultural District - minimum 1 acre,Nonresidential,0.8,False
38,A-40a,Agricultural District - minimum 40 acres,Nonresidential,2.8000000000000003,False
127,OPEN,Open District,Nonresidential,11.700000000000001,False
45,A-5a,Agricultural District - minimum 5 acres,Nonresidential,17.8,False
106,FR,Forest Reserve,Nonresidential,22.0,False
21,A-20a,Agricultural District - minimum 20 acres,Nonresidential,39.0,False
