,Abbreviated District Name,Full District Name,Type of Zoning District,zone_pct,single_family
436,A-2,A-2 Apartment,Primarily Residential,0.0,False
576,PK(GC),PK/GC Park Golf Course,Nonresidential,0.0,False
569,OS-2,OS-2 Open Space (Active),Nonresidential,0.0,False
564,OS,Open Space,Nonresidential,0.0,False
558,H-1,H-1 Hotel,Mixed with Residential,0.0,False
553,BR,BR Business - Resort,Nonresidential,0.0,False
550,A-1,A-1 Apartment,Primarily Residential,0.0,False
546,SBR,SBR - Service Business Residential,Mixed with Residential,0.0,False
536,P,Public Use,Nonresidential,0.0,False
525,B-CT,B-CT Business - Country Town,Mixed with Residential,0.0,False
585,RU-1.0,RU-1.0 Rural - 1 Acre,Mixed with Residential,0.0,False
587,UR,UR Urban Reserve,Primarily Residential,0.0,False
489,P-1,P-1 Public/Quasi-Public,Nonresidential,0.0,False
483,M-2,M-2 Heavy Industrial,Nonresidential,0.0,False
477,M-1,M-1 Light Industrial,Nonresidential,0.0,False
465,H-M,H-M Hotel,Mixed with Residential,0.0,False
456,B-2,B-2 Business-Community,Mixed with Residential,0.0,False
451,B-1,B-1 Business - Neighborhood,Mixed with Residential,0.0,False
501,PK,PK Park,Nonresidential,0.0,False
507,R-1,R-1 Residential,Primarily Residential,0.1,True
519,R-3,R-3 Residential,Primarily Residential,0.1,True
513,R-2,R-2 Residential,Primarily Residential,0.1,True
543,RU-0.5,RU-0.5 Rural - 1/2 Acre,Mixed with Residential,0.2,False
572,OZ,OZ Open Zone,Nonresidential,0.2,False
495,PD,PD Project District,Primarily Residential,0.3,False
445,AP,AP Airport,Nonresidential,0.3,False
442,AG,AG Agriculture,Nonresidential,44.4,False
471,INT,INT Interim,Nonresidential,45.0,False
