,Abbreviated District Name,Full District Name,Type of Zoning District,zone_pct,single_family
719,B-1,Business - Neighborhood,Nonresidential,0.2,False
653,A-2,Apartment - Medium-Density,Primarily Residential,0.3,False
1024,C,Country,Mixed with Residential,1.3,False
880,R-7.5,"Residential - 7,500 sf",Primarily Residential,3.3000000000000003,True
830,R-10,"Residential - 10,000 sf",Primarily Residential,5.3,True
812,P-2,Preservation - General,Nonresidential,6.7,False
861,R-5,"Residential - 5,000 sf",Primarily Residential,9.8,True
673,AG-1,Agricultural - Restricted,Nonresidential,13.600000000000001,False
901,F-1,Preservation - Military and Federal,Nonresidential,13.900000000000002,False
692,AG-2,Agricultural - General,Nonresidential,18.4,False
778,P-1,Preservation - Restricted,Nonresidential,26.3,False
