Status,Last Updated,Jurisdiction Status,Jurisdiction Last Updated,State,County,Jurisdiction,Parent Jurisdiction,Abbreviated District Name,Full District Name,Effective Start Date,Changed or Expired,District Mapped,District Mapped But Extinct,Overlay,Type of Zoning District,Affordable Housing District,Elderly Housing District,1-Family Treatment,2-Family Treatment,3-Family Treatment,4+-Family Treatment,1-Family Min. Lot,1-Family Min. Lot Units,1-Family Front Setback,1-Family Front Setback Units,1-Family Side Setback,1-Family Side Setback Units,1-Family Rear Setback,1-Family Rear Setback Units,1-Family Max. Lot Coverage - Buildings,1-Family Max. Lot Coverage - Buildings Units,1-Family Max. Lot Coverage - Buildings & Impervious Surface,1-Family Max. Lot Coverage - Buildings & Impervious Surface Units,1-Family Min. # Parking Spaces,1-Family Min. # Parking Spaces Units,1-Family Max. Stories,1-Family Max. Stories Units,1-Family Max. Height,1-Family Max. Height Units,1-Family Floor to Area Ratio,1-Family Floor to Area Ratio Units,1-Family Min. Unit Size,1-Family Min. Unit Size Units,2-Family Affordable Housing Only,2-Family Elderly Housing Only,2-Family Min. Lot,2-Family Min. Lot Units,2-Family Max. Density,2-Family Max. Density Units,2-Family Front Setback,2-Family Front Setback Units,2-Family Side Setback,2-Family Side Setback Units,2-Family Rear Setback,2-Family Rear Setback Units,2-Family Max. Lot Coverage - Buildings,2-Family Max. Lot Coverage - Buildings Units,2-Family Max. Lot Coverage - Buildings & Impervious Surface,2-Family Max. Lot Coverage - Buildings & Impervious Surface Units,2-Family Min. # Parking Spaces Per Studio or 1BR,2-Family Min. # Parking Spaces Per Studio or 1BR Units,2-Family Min. # Parking Spaces Per 2+ BR,2-Family Min. # Parking Spaces Per 2+ BR Units,2-Family Max. Stories,2-Family Max. Stories Units,2-Family Max. Height,2-Family Max. Height Units,2-Family Floor to Area Ratio,2-Family Floor to Area Ratio Units,2-Family Min. Unit Size,2-Family Min. Unit Size Units,3-Family Affordable Housing Only,3-Family Elderly Housing Only,3-Family Min. Lot,3-Family Min. Lot Units,3-Family Max. Density,3-Family Max. Density Units,3-Family Front Setback,3-Family Front Setback Units,3-Family Side Setback,3-Family Side Setback Units,3-Family Rear Setback,3-Family Rear Setback Units,3-Family Max. Lot Coverage - Buildings,3-Family Max. Lot Coverage - Buildings Units,3-Family Max. Lot Coverage - Buildings & Impervious Surface,3-Family Max. Lot Coverage - Buildings & Impervious Surface Units,3-Family Min. # Parking Spaces Per Studio or 1BR,3-Family Min. # Parking Spaces Per Studio or 1BR Units,3-Family Min. # Parking Spaces Per 2+ BR,3-Family Min. # Parking Spaces Per 2+ BR Units,3-Family Connection to Sewer and/or Water Required,3-Family Connection or Proximity to Public Transit Required,3-Family Max. Stories,3-Family Max. Stories Units,3-Family Max. Height,3-Family Max. Height Units,3-Family Floor to Area Ratio,3-Family Floor to Area Ratio Units,3-Family Min. Unit Size,3-Family Min. Unit Size Units,3-Family Max. Bedrooms Per Unit,3-Family Max. Bedrooms Per Unit Units,4+-Family Affordable Housing Only,4+-Family Elderly Housing Only,4+-Family Min. Lot,4+-Family Min. Lot Units,4+-Family Max. Density,4+-Family Max. Density Units,4+-Family Front Setback,4+-Family Front Setback Units,4+-Family Side Setback,4+-Family Side Setback Units,4+-Family Rear Setback,4+-Family Rear Setback Units,4+-Family Max. Lot Coverage - Buildings,4+-Family Max. Lot Coverage - Buildings Units,4+-Family Max. Lot Coverage - Buildings & Impervious Surface,4+-Family Max. Lot Coverage - Buildings & Impervious Surface Units,4+-Family Min. # Parking Spaces Per Studio or 1BR,4+-Family Min. # Parking Spaces Per Studio or 1BR Units,4+-Family Min. # Parking Spaces Per 2+ BR,4+-Family Min. # Parking Spaces Per 2+ BR Units,4+-Family Connection to Sewer and/or Water Required,4+-Family Connection or Proximity to Public Transit Required,4+-Family Max. Stories,4+-Family Max. Stories Units,4+-Family Max. Height,4+-Family Max. Height Units,4+-Family Floor to Area Ratio,4+-Family Floor to Area Ratio Units,4+-Family Min. Unit Size,4+-Family Min. Unit Size Units,4+-Family Max. Bedrooms,4+-Family Max. Bedrooms Units,4+-Family Max. Units,4+-Family Max. Units Units,Affordable Housing (AH) Treatment,AH - Definition,AH - Elderly Housing Only,AH Min. Lot,AH Min. Lot Units,AH Max. Density,AH Max. Density Units,AH Min. Parking Spaces Per Studio or 1BR,AH Min. Parking Spaces Per Studio or 1BR Units,AH Min. Parking Spaces Per 2+ BR,AH Min. Parking Spaces Per 2+ BR Units,AH Connection to Sewer and/or Water Required,AH Connection or Proximity to Public Transit Required,AH Min. Unit Size,AH Min. Unit Size Units,AH Max. Bedrooms,AH Max. Bedrooms Units,AH Max. Units,AH Max. Units Units,Accessory Dwelling Unit (ADU) Treatment,ADU Employee or Family Occupancy Required,ADU Renter Occupancy Prohibited,ADU Owner Occupancy Required,ADU Elderly Housing Only,ADU Min. Lot,ADU Min. Lot Units,ADU Min. Parking Spaces,ADU Min. Parking Spaces Units,"ADU Restricted to Only Primary Structure (i.e., No Outbuildings like Garages)",ADU Max. Percent Main Unit,ADU Max. Percent Main Unit Units,ADU Max. Size,ADU Max. Size Units,ADU Max. Bedrooms,ADU Max. Bedrooms Units,Planned Residential Development (PRD) Treatment,Mobile or Manufactured Home Park (Y/N),PRD Min. Lot,PRD Min. Lot Units,PRD Max. Density,PRD Max. Density Units,PRD Max. Units,PRD Max. Units Units,Special Notes,Tooltip Notes
Completed,2023-09-06,Published,2023-09-07,Hawaii,Hawaii County,Hawaii County,,A-40a,Agricultural District - minimum 40 acres,2023-08-08,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,40,Acres,2,Parking Spaces Add'l to Main Unit,No,,Alternatives,,Alternatives,,Alternatives,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,
Completed,2023-09-06,Published,2023-09-07,Hawaii,Hawaii County,Hawaii County,,A-500a,Agricultural District - minimum 500 acres,2023-08-08,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,500,Acres,2,Parking Spaces Add'l to Main Unit,No,,Alternatives,,Alternatives,,Alternatives,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,
Completed,2023-09-06,Published,2023-09-07,Hawaii,Hawaii County,Hawaii County,,A-5a,Agricultural District - minimum 5 acres,2023-08-08,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,5,Acres,2,Parking Spaces Add'l to Main Unit,No,,Alternatives,,Alternatives,,Alternatives,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,
Completed,2023-09-06,Published,2023-09-07,Hawaii,Hawaii County,Hawaii County,,A-600a,Agricultural District - minimum 600 acres,2023-08-08,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,600,Acres,2,Parking Spaces Add'l to Main Unit,No,,Alternatives,,Alternatives,,Alternatives,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,
Completed,2023-09-06,Published,2023-09-07,Hawaii,Hawaii County,Hawaii County,,A-6a,Agricultural District - minimum 6 acres,2023-08-08,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,6,Acres,2,Parking Spaces Add'l to Main Unit,No,,Alternatives,,Alternatives,,Alternatives,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,
Completed,2023-09-06,Published,2023-09-07,Hawaii,Hawaii County,Hawaii County,,A-7a,Agricultural District - minimum 7 acres,2023-08-08,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,7,Acres,2,Parking Spaces Add'l to Main Unit,No,,Alternatives,,Alternatives,,Alternatives,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,
Completed,2023-09-06,Published,2023-09-07,Hawaii,Hawaii County,Hawaii County,,A-8000a,Agricultural District - minimum 8000 acres,2023-08-08,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,8000,Acres,2,Parking Spaces Add'l to Main Unit,No,,Alternatives,,Alternatives,,Alternatives,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,
Completed,2023-09-06,Published,2023-09-07,Hawaii,Hawaii County,Hawaii County,,A-80a,Agricultural District - minimum 80 acres,2023-08-08,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,80,Acres,2,Parking Spaces Add'l to Main Unit,No,,Alternatives,,Alternatives,,Alternatives,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,
Completed,2023-09-06,Published,2023-09-07,Hawaii,Hawaii County,Hawaii County,,A-8a,Agricultural District - minimum 8 acres,2023-08-08,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,8,Acres,2,Parking Spaces Add'l to Main Unit,No,,Alternatives,,Alternatives,,Alternatives,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,
Completed,2023-09-06,Published,2023-09-07,Hawaii,Hawaii County,Hawaii County,,A-900a,Agricultural District - minimum 900 acres,2023-08-08,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,900,Acres,2,Parking Spaces Add'l to Main Unit,No,,Alternatives,,Alternatives,,Alternatives,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,
Completed,2023-09-06,Published,2023-09-07,Hawaii,Hawaii County,Hawaii County,,APD,Agricultural Project Districts,2023-08-08,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1,Acres,,Feet,,Feet,,Feet,,N/A,,Alternatives,2,Spaces per Unit,,Alternatives,,Feet,,Alternatives,,Alternatives,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,0.23,Acres,2,Parking Spaces Add'l to Main Unit,No,,Alternatives,,Alternatives,,Alternatives,Public Hearing,No,,Acres per PRD,,Units per Acre,,Alternatives,"Setbacks, minimum individual lot sizes, etc are not specified in a project district. In the APD, there's a density guideline, but it's up to the interpretation of the project by the board. The intent is a master-planned, singularly owned sub-jurisdiction that offers a transition between developed communities and agricultural land",
Completed,2023-09-06,Published,2023-09-07,Hawaii,Hawaii County,Hawaii County,,CDH,Downtown Hilo Commercial District,2023-08-08,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.17,Acres,,Feet,,Feet,,Feet,,N/A,,Alternatives,1,Spaces per Unit,,Alternatives,120,Feet,,Alternatives,,Alternatives,No,No,0.17,Acres per 2-Family,12,Units per Acre,,Feet,,Feet,,Feet,,Alternatives,,Alternatives,2,Spaces per Unit,2,Spaces per Unit,,Alternatives,120,Feet,,Alternatives,,Alternatives,No,No,0.17,Acres per 3-Family,87,Units per Acre,,Feet,,Feet,,Feet,,Alternatives,,Alternatives,1.25,Alternatives,1.25,Alternatives,No,No,,Alternatives,120,Feet,,Alternatives,,Alternatives,,Alternatives,No,No,0.17,Acres per 4+-Family,87,Units per Acre,,Feet,,Feet,,Feet,,Alternatives,,Alternatives,1.25,Alternatives,1.25,Alternatives,No,No,,Alternatives,120,Feet,,Alternatives,,Alternatives,,Alternatives,,Alternatives,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Public Hearing,No,0.17,Acres per PRD,87,Units per Acre,,Alternatives,"Parking requirements: possibly 0 for SFH if dwelling density is lower than 1 unit per 1,000 square feet of land, offsite parking may be acceptable; 3/4+ Housing - permitted with a maximum density of five hundred square feet of land area per rentable unit or dwelling unit; Setbacks - 0 except as required by plan approval; Parking - The number of parking spaces required for double-family, duplex and multiple-family residential dwellings having a density greater than one thousand square feet of land area per rentable unit or dwelling unit within the CDH zoning district shall be one off-street parking space per unit; 3/4+ parking - one for each unit on a property maintaining a unit density higher than one thousand square feet of land area per rentable unit or dwelling unit.",
Completed,2023-09-06,Published,2023-09-07,Hawaii,Hawaii County,Hawaii County,,CG-10,"General Commercial - 10,000 square feet",2023-08-08,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.23,Acres,15,Feet,,Feet,15,Feet,,N/A,,Alternatives,2,Spaces per Unit,,Alternatives,45; 120 in Hilo,Alternatives,,Alternatives,,Alternatives,No,No,0.23,Acres per 2-Family,8,Units per Acre,15,Feet,,Feet,15,Feet,,Alternatives,,Alternatives,2,Spaces per Unit,2,Spaces per Unit,,Alternatives,45; 120 in Hilo,Alternatives,,Alternatives,,Alternatives,No,No,0.23,Acres per 3-Family,35,Units per Acre,15,Feet,,Feet,15,Feet,,Alternatives,,Alternatives,1.25,Alternatives,1.25,Alternatives,No,No,,Alternatives,45,Feet,,Alternatives,,Alternatives,,Alternatives,No,No,0.23,Acres per 4+-Family,35,Units per Acre,15,Feet,,Feet,15,Feet,,Alternatives,,Alternatives,1.25,Alternatives,1.25,Alternatives,No,No,,Alternatives,45,Feet,,Alternatives,,Alternatives,,Alternatives,,Alternatives,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Public Hearing,No,0.23,Acres per PRD,35,Units per Acre,,Alternatives,"3/4+-Housing - permitted provided that the maximum density shall be one thousand two hundred fifty square feet of land area per rentable unit or dwelling unit; The height limit in the City of Hilo shall be one hundred twenty feet; Side yards, , except where the adjoining building site is in an RS, RD, RM or RCX district. Where the side yard adjoins the side yard of a building site in an RS, RD, RM or RCX district, there shall be a side yard which conforms to the side yard requirements for dwelling use of the adjoining district. In ANY commercial district, ADU treatment is permissible if and only if the residential use is needed for the commercial operation (e.g., caretaker units)",
Completed,2023-09-06,Published,2023-09-07,Hawaii,Hawaii County,Hawaii County,,CG-20,"General Commercial - 20,000 square feet",2023-08-08,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.46,Acres,15,Feet,,Feet,15,Feet,,N/A,,Alternatives,2,Spaces per Unit,,Alternatives,45; 120 in Hilo,Alternatives,,Alternatives,,Alternatives,No,No,0.46,Acres per 2-Family,4,Units per Acre,15,Feet,,Feet,15,Feet,,Alternatives,,Alternatives,2,Spaces per Unit,2,Spaces per Unit,,Alternatives,45; 120 in Hilo,Alternatives,,Alternatives,,Alternatives,No,No,0.46,Acres per 3-Family,35,Units per Acre,15,Feet,,Feet,15,Feet,,Alternatives,,Alternatives,1.25,Alternatives,1.25,Alternatives,No,No,,Alternatives,45,Feet,,Alternatives,,Alternatives,,Alternatives,No,No,0.46,Acres per 4+-Family,35,Units per Acre,15,Feet,,Feet,15,Feet,,Alternatives,,Alternatives,1.25,Alternatives,1.25,Alternatives,No,No,,Alternatives,45,Feet,,Alternatives,,Alternatives,,Alternatives,,Alternatives,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Public Hearing,No,0.46,Acres per PRD,35,Units per Acre,,Alternatives,"3/4+-Housing - permitted provided that the maximum density shall be one thousand two hundred fifty square feet of land area per rentable unit or dwelling unit; The height limit in the City of Hilo shall be one hundred twenty feet; Side yards, , except where the adjoining building site is in an RS, RD, RM or RCX district. Where the side yard adjoins the side yard of a building site in an RS, RD, RM or RCX district, there shall be a side yard which conforms to the side yard requirements for dwelling use of the adjoining district.",
