,Abbreviated District Name,Full District Name,Type of Zoning District,zone_pct,single_family
580,R-0,R-0 Zero Lot Line Residential,Primarily Residential,0.0,True
449,B-1,B-1 Business - Neighborhood,Mixed with Residential,0.0,False
538,P-2,P-2 Public/Quasi-Public,Nonresidential,0.0,False
562,OS,Open Space,Nonresidential,0.0,False
534,P,Public Use,Nonresidential,0.1,False
560,KRTP,KRTP Kihei Research and Technology Park District,Nonresidential,0.1,False
481,M-2,M-2 Heavy Industrial,Nonresidential,0.1,False
552,BR,BR Business - Resort,Nonresidential,0.2,False
555,D-2,D-2 Duplex,Primarily Residential,0.2,False
461,H-2,H-2 Hotel,Mixed with Residential,0.5,False
475,M-1,M-1 Light Industrial,Nonresidential,0.5,False
556,H-1,H-1 Hotel,Mixed with Residential,0.6,False
454,B-2,B-2 Business-Community,Mixed with Residential,0.6,False
505,R-1,R-1 Residential,Primarily Residential,0.7000000000000001,True
487,P-1,P-1 Public/Quasi-Public,Nonresidential,0.7000000000000001,False
464,H-M,H-M Hotel,Mixed with Residential,1.0,False
567,OS-2,OS-2 Open Space (Active),Nonresidential,1.2,False
566,OS-1,OS-1 Open Space (Passive),Nonresidential,1.2,False
469,INT,INT Interim,Nonresidential,1.4000000000000001,False
561,MRTP,MRTP Maui Research and Technology Park District,Mixed with Residential,1.6,False
548,A-1,A-1 Apartment,Primarily Residential,1.7000000000000002,False
434,A-2,A-2 Apartment,Primarily Residential,1.7999999999999998,False
578,R,R Rural,Mixed with Residential,1.9,False
571,OZ,OZ Open Zone,Nonresidential,2.1999999999999997,False
517,R-3,R-3 Residential,Primarily Residential,2.4,True
511,R-2,R-2 Residential,Primarily Residential,3.1,True
493,PD,PD Project District,Primarily Residential,4.1000000000000005,False
499,PK,PK Park,Nonresidential,4.2,False
574,PK(GC),PK/GC Park Golf Course,Nonresidential,4.9,False
440,AG,AG Agriculture,Nonresidential,59.199999999999996,False
